particle#	x_coord	y_coord	image_name
865	3612	2148	06jul12a_00022gr_00013sq_00003hl_00005en
866	3368	2112	06jul12a_00022gr_00013sq_00003hl_00005en
867	3336	2624	06jul12a_00022gr_00013sq_00003hl_00005en
868	3752	2360	06jul12a_00022gr_00013sq_00003hl_00005en
869	3716	2684	06jul12a_00022gr_00013sq_00003hl_00005en
870	3908	2876	06jul12a_00022gr_00013sq_00003hl_00005en
871	3720	3348	06jul12a_00022gr_00013sq_00003hl_00005en
872	3540	3372	06jul12a_00022gr_00013sq_00003hl_00005en
873	3032	2708	06jul12a_00022gr_00013sq_00003hl_00005en
874	2880	2652	06jul12a_00022gr_00013sq_00003hl_00005en
875	2672	2556	06jul12a_00022gr_00013sq_00003hl_00005en
876	2796	2436	06jul12a_00022gr_00013sq_00003hl_00005en
877	2492	2472	06jul12a_00022gr_00013sq_00003hl_00005en
878	2316	2336	06jul12a_00022gr_00013sq_00003hl_00005en
879	2100	2376	06jul12a_00022gr_00013sq_00003hl_00005en
880	2012	2160	06jul12a_00022gr_00013sq_00003hl_00005en
881	1620	2084	06jul12a_00022gr_00013sq_00003hl_00005en
882	1388	2156	06jul12a_00022gr_00013sq_00003hl_00005en
883	476	2136	06jul12a_00022gr_00013sq_00003hl_00005en
884	384	1860	06jul12a_00022gr_00013sq_00003hl_00005en
885	180	1712	06jul12a_00022gr_00013sq_00003hl_00005en
886	228	2252	06jul12a_00022gr_00013sq_00003hl_00005en
887	1256	2892	06jul12a_00022gr_00013sq_00003hl_00005en
888	1020	2852	06jul12a_00022gr_00013sq_00003hl_00005en
889	732	2564	06jul12a_00022gr_00013sq_00003hl_00005en
890	1424	2808	06jul12a_00022gr_00013sq_00003hl_00005en
891	1836	2628	06jul12a_00022gr_00013sq_00003hl_00005en
892	2760	3468	06jul12a_00022gr_00013sq_00003hl_00005en
893	2744	3644	06jul12a_00022gr_00013sq_00003hl_00005en
894	2592	3540	06jul12a_00022gr_00013sq_00003hl_00005en
895	2436	3428	06jul12a_00022gr_00013sq_00003hl_00005en
896	2568	3356	06jul12a_00022gr_00013sq_00003hl_00005en
897	2328	3276	06jul12a_00022gr_00013sq_00003hl_00005en
898	2792	3288	06jul12a_00022gr_00013sq_00003hl_00005en
899	3080	3296	06jul12a_00022gr_00013sq_00003hl_00005en
900	3192	3824	06jul12a_00022gr_00013sq_00003hl_00005en
901	2088	3144	06jul12a_00022gr_00013sq_00003hl_00005en
902	1964	2996	06jul12a_00022gr_00013sq_00003hl_00005en
903	1860	3192	06jul12a_00022gr_00013sq_00003hl_00005en
904	1908	3348	06jul12a_00022gr_00013sq_00003hl_00005en
905	1640	3716	06jul12a_00022gr_00013sq_00003hl_00005en
906	1436	3716	06jul12a_00022gr_00013sq_00003hl_00005en
907	1368	3456	06jul12a_00022gr_00013sq_00003hl_00005en
908	1268	3140	06jul12a_00022gr_00013sq_00003hl_00005en
909	1172	3776	06jul12a_00022gr_00013sq_00003hl_00005en
910	980	3776	06jul12a_00022gr_00013sq_00003hl_00005en
911	812	3776	06jul12a_00022gr_00013sq_00003hl_00005en
912	428	3888	06jul12a_00022gr_00013sq_00003hl_00005en
913	320	3752	06jul12a_00022gr_00013sq_00003hl_00005en
914	312	3552	06jul12a_00022gr_00013sq_00003hl_00005en
915	216	3896	06jul12a_00022gr_00013sq_00003hl_00005en
916	488	932	06jul12a_00022gr_00013sq_00002hl_00004en
917	1284	588	06jul12a_00022gr_00013sq_00002hl_00004en
918	1416	716	06jul12a_00022gr_00013sq_00002hl_00004en
919	1484	524	06jul12a_00022gr_00013sq_00002hl_00004en
920	1668	560	06jul12a_00022gr_00013sq_00002hl_00004en
921	1848	620	06jul12a_00022gr_00013sq_00002hl_00004en
922	1584	336	06jul12a_00022gr_00013sq_00002hl_00004en
923	1304	332	06jul12a_00022gr_00013sq_00002hl_00004en
924	812	212	06jul12a_00022gr_00013sq_00002hl_00004en
925	2300	260	06jul12a_00022gr_00013sq_00002hl_00004en
926	2600	644	06jul12a_00022gr_00013sq_00002hl_00004en
927	2724	824	06jul12a_00022gr_00013sq_00002hl_00004en
928	3212	404	06jul12a_00022gr_00013sq_00002hl_00004en
929	3648	780	06jul12a_00022gr_00013sq_00002hl_00004en
930	3828	500	06jul12a_00022gr_00013sq_00002hl_00004en
931	2268	1064	06jul12a_00022gr_00013sq_00002hl_00004en
932	1944	860	06jul12a_00022gr_00013sq_00002hl_00004en
933	1820	968	06jul12a_00022gr_00013sq_00002hl_00004en
934	1964	1244	06jul12a_00022gr_00013sq_00002hl_00004en
935	1716	1392	06jul12a_00022gr_00013sq_00002hl_00004en
936	1788	1568	06jul12a_00022gr_00013sq_00002hl_00004en
937	1764	1772	06jul12a_00022gr_00013sq_00002hl_00004en
938	224	1592	06jul12a_00022gr_00013sq_00002hl_00004en
939	276	1812	06jul12a_00022gr_00013sq_00002hl_00004en
940	180	1952	06jul12a_00022gr_00013sq_00002hl_00004en
941	564	2468	06jul12a_00022gr_00013sq_00002hl_00004en
942	444	2640	06jul12a_00022gr_00013sq_00002hl_00004en
943	956	2984	06jul12a_00022gr_00013sq_00002hl_00004en
944	776	3212	06jul12a_00022gr_00013sq_00002hl_00004en
945	924	3320	06jul12a_00022gr_00013sq_00002hl_00004en
946	1152	3420	06jul12a_00022gr_00013sq_00002hl_00004en
947	1172	3036	06jul12a_00022gr_00013sq_00002hl_00004en
948	1308	2936	06jul12a_00022gr_00013sq_00002hl_00004en
949	1640	2960	06jul12a_00022gr_00013sq_00002hl_00004en
950	1668	3176	06jul12a_00022gr_00013sq_00002hl_00004en
951	1824	3036	06jul12a_00022gr_00013sq_00002hl_00004en
952	2016	3144	06jul12a_00022gr_00013sq_00002hl_00004en
953	2760	2888	06jul12a_00022gr_00013sq_00002hl_00004en
954	2780	2480	06jul12a_00022gr_00013sq_00002hl_00004en
955	2588	2420	06jul12a_00022gr_00013sq_00002hl_00004en
956	2540	1992	06jul12a_00022gr_00013sq_00002hl_00004en
957	2736	1964	06jul12a_00022gr_00013sq_00002hl_00004en
958	2876	1800	06jul12a_00022gr_00013sq_00002hl_00004en
959	2856	1484	06jul12a_00022gr_00013sq_00002hl_00004en
960	2660	1376	06jul12a_00022gr_00013sq_00002hl_00004en
961	2876	1316	06jul12a_00022gr_00013sq_00002hl_00004en
962	3380	1892	06jul12a_00022gr_00013sq_00002hl_00004en
963	3192	2076	06jul12a_00022gr_00013sq_00002hl_00004en
964	3104	2264	06jul12a_00022gr_00013sq_00002hl_00004en
965	3356	2192	06jul12a_00022gr_00013sq_00002hl_00004en
966	3336	2400	06jul12a_00022gr_00013sq_00002hl_00004en
967	3180	2672	06jul12a_00022gr_00013sq_00002hl_00004en
968	3584	1656	06jul12a_00022gr_00013sq_00002hl_00004en
969	3768	1548	06jul12a_00022gr_00013sq_00002hl_00004en
970	3576	3012	06jul12a_00022gr_00013sq_00002hl_00004en
971	3792	2996	06jul12a_00022gr_00013sq_00002hl_00004en
972	3696	3156	06jul12a_00022gr_00013sq_00002hl_00004en
973	2904	3524	06jul12a_00022gr_00013sq_00002hl_00004en
974	2256	1500	06jul12a_00022gr_00013sq_00002hl_00004en
975	416	1628	06jul12a_00022gr_00013sq_00002hl_00004en
976	600	1716	06jul12a_00022gr_00013sq_00002hl_00004en
977	3464	3644	06jul12a_00022gr_00013sq_00002hl_00004en
978	3548	3840	06jul12a_00022gr_00013sq_00002hl_00004en
979	2760	3648	06jul12a_00022gr_00013sq_00002hl_00004en
980	1452	3600	06jul12a_00022gr_00013sq_00002hl_00004en
981	1200	3804	06jul12a_00022gr_00013sq_00002hl_00004en
982	1032	3860	06jul12a_00022gr_00013sq_00002hl_00004en
